교육명,검색어_원본,검색어_개선,개선_단어수,개선율
마음건강지킴이양성교육기본과정(마음건강지킴이의자기소진예방),마음건강지킴이양성교육기본과정(마음건강지킴이의자기소진예방),마음건강지킴 이양성교육기본 마음건강지킴이의자기소진예방,3,3.0
(정신응급대응)정신응급대응판단기준과관계법령,(정신응급대응)정신응급대응판단기준과관계법령,정신응급대응판단기준 관계법령 정신응급대응,3,3.0
(정신응급대응)정신응급대응체계,(정신응급대응)정신응급대응체계,정신응급대응체계 정신응급대응,2,2.0
(정신응급대응)지역및응급대응기관소개,(정신응급대응)지역및응급대응기관소개,지역및응급대응기관소개 정신응급대응,2,2.0
(정신응급대응)흥분환자면담,(정신응급대응)흥분환자면담,흥분환자면담 정신응급대응,2,2.0
(정신응급대응)정신건강이해,(정신응급대응)정신건강이해,정신건강이해 정신응급대응,2,2.0
(정신응급대응)위험도평가및면담,(정신응급대응)위험도평가및면담,위험도평가및면담 정신응급대응,2,2.0
2024년정신건강증진시설인권교육,2024년정신건강증진시설인권교육,2024년정신건강증진시설인권교육,1,1.0
2025년정신건강증진시설인권교육(이러닝) I,2025년정신건강증진시설인권교육(이러닝) I,2025년정신건강증진시설인권교육 이러닝,2,1.0
2025년정신건강증진시설인권교육(이러닝) II,2025년정신건강증진시설인권교육(이러닝) II,2025년정신건강증진시설인권교육 이러닝 II,3,1.5
2025년정신건강증진시설인권교육(이러닝) III,2025년정신건강증진시설인권교육(이러닝) III,2025년정신건강증진시설인권교육 이러닝 III,3,1.5
2025년정신건강증진시설인권교육(이러닝)V,2025년정신건강증진시설인권교육(이러닝)V,2025년정신건강증진시설인권교육 이러닝,2,2.0
2025년정신건강증진시설인권교육(이러닝)VI,2025년정신건강증진시설인권교육(이러닝)VI,2025년정신건강증진시설인권교육 이러닝 VI,3,3.0
"감염병, 그것이 알고싶다","감염병, 그것이 알고싶다","감염병, 그것이 알고싶다",3,1.0
감염병대응인력양성총론,감염병대응인력양성총론,감염병대응 인력양성총론,2,2.0
바이러스간염의예방및관리,바이러스간염의예방및관리,바이러 스간염 예방및관리,3,3.0
"생물안전1,2등급시설관리자교육","생물안전1,2등급시설관리자교육","생물안전1,2등급시설관리자교육",1,1.0
"생물안전1,2등급시설사용자교육","생물안전1,2등급시설사용자교육","생물안전1,2등급시설사용자교육",1,1.0
생물안전3등급시설사용자교육,생물안전3등급시설사용자교육,생물안전3등급시설사용자교육,1,1.0
생물테러대비·대응,생물테러대비·대응,생물테러대비·대응,1,1.0
슬기로운감염병관리(의료기관및복지시설),슬기로운감염병관리(의료기관및복지시설),슬기로운감염병관리 의료기관및복지시설,2,2.0
의료기관종사자(근무자)를위한감염관리,의료기관종사자(근무자)를위한감염관리,의료기관종사자 위한감염관리 근무자,3,3.0
해외감염병예방,해외감염병예방,해외감염병예방,1,1.0
검역업무의이해,검역업무의이해,검역업무 이해,2,2.0
신종감염병항만검역대응훈련,신종감염병항만검역대응훈련,신종감염병항만검역대응훈련,1,1.0
역학조사알아가기,역학조사알아가기,역학조사알아가기,1,1.0
감염성물질의안전수송관리,감염성물질의안전수송관리,감염성물질 안전수 송관리,3,3.0
국가감염병감시사업안내,국가감염병감시사업안내,국가감염병감시사업안내,1,1.0
시험·검사기관 검사원을 위한 윤리가이드,시험·검사기관 검사원을 위한 윤리가이드,시험·검사기관 검사원을 위한 윤리가이드,4,1.0
식중독 원인 조사 바로알기,식중독 원인 조사 바로알기,식중독 원인 조사 바로알기,4,1.0
마약 중독 회복하기,마약 중독 회복하기,마약 중독 회복하기,3,1.0
우린 약하지 않아 의료용 마약류 중독예방 사례편,우린 약하지 않아 의료용 마약류 중독예방 사례편,우린 약하지 않아 의료용 마약류 중독예방 사례편,7,1.0
우린 약하지 않아─의료용 마약류 중독예방 이론편,우린 약하지 않아─의료용 마약류 중독예방 이론편,우린 약하지 않아─의료용 마약류 중독예방 이론편,6,1.0
알기쉬운바이오헬스ESG기본과정,알기쉬운바이오헬스ESG기본과정,알기쉬운바이오헬스 기본 ESG,3,3.0
알기쉬운바이오헬스ESG실무과정,알기쉬운바이오헬스ESG실무과정,알기쉬운바이오헬스 실무 ESG,3,3.0
GMP규정및품질관리개론,GMP규정및품질관리개론,규정및품질관리개론 GMP,2,2.0
GMP실무및제약공정의이해,GMP실무및제약공정의이해,실무및제약공정 이해 GMP,3,3.0
신약개발전략및후보물질발굴의이해,신약개발전략및후보물질발굴의이해,신약개발전략및후보물질발굴 이해,2,2.0
신약개발전문인력양성과정(1)후보물질발굴과비임상시험,신약개발전문인력양성과정(1)후보물질발굴과비임상시험,신약개발전문인력양성과정후보물질발굴 비임상시험,2,2.0
신약개발전문인력양성과정(2)후보물질발굴과비임상시험,신약개발전문인력양성과정(2)후보물질발굴과비임상시험,신약개발전문인력양성과정후보물질발굴 비임상시험,2,2.0
의약품QbD이해과정,의약품QbD이해과정,의약품 QbD이해,2,2.0
의약품빅데이터분석과정,의약품빅데이터분석과정,의약품빅데이터분석,1,1.0
첨단바이오의약품의이해,첨단바이오의약품의이해,첨단바이오의약품 이해,2,2.0
의약품콜드체인의이해,의약품콜드체인의이해,의약품콜드체인 이해,2,2.0
의약품콜드체인실행방안,의약품콜드체인실행방안,의약품콜드체인실행방안,1,1.0
제약바이오사업개발기본과정,제약바이오사업개발기본과정,제약바이오사업개발기본,1,1.0
제약·바이오산업 전주기 직무이해과정,제약·바이오산업 전주기 직무이해과정,제약·바이오산업 전주기 직무이해,3,1.0
화장품GMP품질관리실무,화장품GMP품질관리실무,화장품 품질관리실무 GMP,3,3.0
화장품연구개발기본과정,화장품연구개발기본과정,화장품연구개발기본,1,1.0
화장품산업 전주기 직무이해과정,화장품산업 전주기 직무이해과정,화장품산업 전주기 직무이해,3,1.0
의료기기GMP기본과정,의료기기GMP기본과정,의료기기 기본 GMP,3,3.0
의료기기사용적합성평가기본과정,의료기기사용적합성평가기본과정,의료기기사용적합성평가기본,1,1.0
의료기기연구개발기획실무과정,의료기기연구개발기획실무과정,의료기기연구개발기획실무,1,1.0
의료기기산업 전주기 직무이해과정,의료기기산업 전주기 직무이해과정,의료기기산업 전주기 직무이해,3,1.0
"No-code, 바이오헬스생성형AI데이터분석기초과정","No-code, 바이오헬스생성형AI데이터분석기초과정","No code, 바이오헬 스생성형 데이터분석기초 AI",6,3.0
한국보건의료체계의 이해,한국보건의료체계의 이해,한국보건 료체계의 이해,3,1.5
Understanding Korea's National Health System,Understanding Korea's National Health System,Understanding Korea's National Health System,5,1.0
국제보건과 ODA! 그것이 알고싶다,국제보건과 ODA! 그것이 알고싶다,국제보건과 그것이 알고싶다 ODA,4,1.0
글로벌헬스케어를 위한 의학용어,글로벌헬스케어를 위한 의학용어,글로벌헬스케어를 위한 의학용어,3,1.0
글로벌헬스케어를 위한 기초의학,글로벌헬스케어를 위한 기초의학,글로벌헬스케어를 위한 기초,3,1.0
글로벌헬스케어를 위한 현장임상,글로벌헬스케어를 위한 현장임상,글로벌헬스케어를 위한 현장임상,3,1.0
어서와! 의료통역은 처음이지,어서와! 의료통역은 처음이지,어서와 의료통역은 처음이지,3,1.0
국제진료임상영어기초회화,국제진료임상영어기초회화,국제진료임상영어기초회화,1,1.0
국제진료센터 현장 영어 실무,국제진료센터 현장 영어 실무,국제진료센터 현장 영어 실무,4,1.0
글로벌 헬스케어 산업 동향의 이해,글로벌 헬스케어 산업 동향의 이해,글로벌 헬스케어 산업 동향의 이해,5,1.0
해외진출 의료인을 위한 필수 법률지식(근로계약),해외진출 의료인을 위한 필수 법률지식(근로계약),해외진출 의료인을 위한 필수 법률지식 근로계약,6,1.2
해외진출 의료인을 위한 필수 법률지식(비자·영주권),해외진출 의료인을 위한 필수 법률지식(비자·영주권),해외진출 의료인을 위한 필수 법률지식 비자·영주권,6,1.2
해외 의료시스템의 이해: 미국,해외 의료시스템의 이해: 미국,해외 의료시스템의 이해: 미국,4,1.0
해외 의료시스템의 이해:독립국가연합(CIS),해외 의료시스템의 이해:독립국가연합(CIS),해외 의료시스템의 이해:독립국가연합 CIS,4,1.3333333333333333
